
9/12/2019 : (Thursday)12:50:5
millis,Volt,Current,Power(kW),Energy(kJ),Analog Input 2,Analog Input 3,RPM,X-Accel(m/s^2),Y-Accel(m/s^2),Z-Accel(m/s^2),DIGIN_4
45800,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.31,0.08,10.04,1,
46000,0.0,2.0,0.0,0,0.00,0.00,0.00,-0.31,0.08,10.00,1,
46200,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.24,0.04,10.04,1,
46400,0.0,1.2,0.0, ,0.00,0.00,0.00,-0.24,0.08,10.04,1,
46600,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.27,0.04,10.00,1,
46800,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.27,0.04,10.00,1,
47000,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.24,-0.04,10.00,1,
47200,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.16,0.04,10.04,1,
47400,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.08,0.04,10.04,1,
47600,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.16,0.04,9.96,1,
47800,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.27,0.08,10.00,1,
48000,0.0,2.0,0.0,0,0.00,0.00,0.00,-0.24,0.04,10.08,1,
48200,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.24,0.04,10.04,1,
48400,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.20,0.04,10.00,1,
48600,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.27,0.08,10.04,1,
48800,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.27,0.04,10.04,1,
49000,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.20,0.04,9.77,1,
49200,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.24,0.04,10.04,1,
49400,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.24,0.04,10.04,1,
49600,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.20,0.04,10.04,1,
49800,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.31,0.04,10.00,1,
50000,0.0,2.0,0.0,0,0.00,0.00,0.00,-0.16,0.04,10.04,1,
50200,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.35,0.04,10.04,1,
50400,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.31,0.04,10.04,1,
50600,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.20,0.12,9.92,1,
50800,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.31,0.04,10.04,1,
51000,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.35,0.04,10.04,1,
51200,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.16,0.04,10.04,1,
51400,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.39,0.04,10.04,1,
51600,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.27,0.04,9.96,1,
51800,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.20,0.04,10.00,1,
52000,0.0,2.0,0.0,0,0.00,0.00,0.00,-0.27,0.00,10.04,1,
52200,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.35,0.04,9.96,1,
52400,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.35,0.08,10.04,1,
52600,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.27,0.08,9.92,1,
52800,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.20,0.04,10.04,1,
53000,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.31,0.04,10.04,1,
53200,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.20,0.04,10.00,1,
53400,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.39,0.04,10.04,1,
